884,i,x,y,t
885,i,x,y,t
886,i,x,y,t
887,i,x,y,t
888,i,x,y,t
889,i,x,y,t
890,i,x,y,t
891,i,x,y,t
892,i,x,y,t
893,i,x,y,t
894,i,x,y,t
895,i,x,y,t
896,i,x,y,t
897,i,x,y,t
898,i,x,y,t
899,i,x,y,t
900,i,x,y,t
901,i,x,y,t
902,i,x,y,t
903,i,x,y,t
904,i,x,y,t
905,i,x,y,t
906,i,x,y,t
907,i,x,y,t
908,i,x,y,t
909,i,x,y,t
910,i,x,y,t
911,i,x,y,t
912,i,x,y,t
913,i,x,y,t
914,i,x,y,t
915,i,x,y,t
916,i,x,y,t
917,i,x,y,t
918,i,x,y,t
919,i,x,y,t
920,i,x,y,t
921,i,x,y,t
922,i,x,y,t
923,i,x,y,t
924,i,x,y,t
925,i,x,y,t
926,i,x,y,t
927,i,x,y,t
928,i,x,y,t
929,i,x,y,t
930,i,x,y,t
931,i,x,y,t
932,i,x,y,t
933,i,x,y,t
934,i,x,y,t
935,i,x,y,t
936,i,x,y,t
937,i,x,y,t
938,i,x,y,t
939,i,x,y,t
940,i,x,y,t
941,i,x,y,t
942,i,x,y,t
943,i,x,y,t
944,i,x,y,t
945,i,x,y,t
946,i,x,y,t
947,i,x,y,t
948,i,x,y,t
949,i,x,y,t
950,i,x,y,t
951,i,x,y,t
952,i,x,y,t
953,i,x,y,t
954,i,x,y,t
955,i,x,y,t
956,i,x,y,t
957,i,x,y,t
958,i,x,y,t
959,i,x,y,t
960,i,x,y,t
961,i,x,y,t
962,i,x,y,t
963,i,x,y,t
964,i,x,y,t
965,i,x,y,t
966,i,x,y,t
967,i,x,y,t
968,i,x,y,t
969,i,x,y,t
970,i,x,y,t
971,i,x,y,t
972,i,x,y,t
973,i,x,y,t
974,i,x,y,t
975,i,x,y,t
976,i,x,y,t
977,i,x,y,t
978,i,x,y,t
979,i,x,y,t
980,i,x,y,t
981,i,x,y,t
982,i,x,y,t
983,i,x,y,t
984,i,x,y,t
985,i,x,y,t
986,i,x,y,t
987,i,x,y,t
988,i,x,y,t
989,i,x,y,t
990,i,x,y,t
991,i,x,y,t
992,i,x,y,t
993,i,x,y,t
994,i,x,y,t
995,i,x,y,t
996,i,x,y,t
997,i,x,y,t
998,i,x,y,t
999,i,x,y,t
1000,i,x,y,t
